Lon;Lat;Label;Annotation
15.2989112701;35.3264928642;6;Silty CLAY
15.2883314531;35.3265464511;6;Soft CLAY
15.4979418500;35.3265687050;6;Soft CLAY
15.3271237376;35.3265727156;6;fs
15.5297093337;35.3265902819;6;Thickness > 3m
15.5074102010;35.3266332879;6;Very Soft Sandy CLAY
14.6509062802;35.3266376470;6;r
15.3109674529;35.3266710111;6;Silty CLAY
15.3252948908;35.3266973069;6;Silty CLAY
15.3179551408;35.3267036534;6;dr
15.5625648559;35.3267121753;6;pm
15.5832235249;35.3268467907;6;Soft CLAY
15.3477262378;35.3268632710;6;Soft CLAY
14.5930187626;35.3268676056;6;Soft CLAY
14.6708331211;35.3268800541;6;2.08
15.5546612263;35.3269927373;6;Thickness > 3m
14.8071796635;35.3270064471;6;r
14.6491206170;35.3270208909;6;r
14.6711460595;35.3270988445;6;2.04
14.6279993268;35.3271216977;6;fs
15.5701761048;35.3271243348;6;Soft CLAY
14.6199127157;35.3271536331;6;r
14.6578394509;35.3271748828;6;fs
14.8095587785;35.3272429328;6;r
15.3515815668;35.3272626003;6;Thickness > 3m
14.7694842370;35.3272649768;6;r
15.2937322769;35.3272854348;6;dr
15.3022903144;35.3272973232;6;dr
15.2963583473;35.3273006686;6;Soft CLAY
14.8081266901;35.3273375282;6;r
14.8104827080;35.3273564458;6;r
15.4857640449;35.3273731538;6;Thickness > 2m
14.5801555029;35.3273978093;6;Soft CLAY
15.3001302416;35.3274048166;6;Thickness > 3m
14.8020757387;35.3274341403;6;Soft CLAY
15.3127425179;35.3274348156;6;dr
15.5672947916;35.3274380655;6;Thickness > 3m
15.5312977414;35.3274814944;6;Silty CLAY
14.6119810304;35.3275079952;6;Thickness > 1m
14.6403130963;35.3275439514;6;Soft Clayey SILT
15.5487777754;35.3276131697;6;Thickness > 3m
15.5561870459;35.3276151098;6;fs
14.6470389346;35.3276778763;6;r
14.6450396633;35.3276851727;6;r
15.3582540243;35.3277057540;6;Soft CLAY
15.4789632689;35.3277242186;6;Soft CLAY
15.3393317793;35.3277404664;6;fs
14.6764939460;35.3277423316;6;Thickness > 2m
14.6662768210;35.3277507674;6;fs
15.5026744205;35.3277705833;6;Thickness > 3m
15.2822008383;35.3277850493;6;Thickness > 3m
14.6196109858;35.3277869193;6;r
14.6210630652;35.3277946419;6;r
15.3221658257;35.3278020679;6;dr
14.6495598711;35.3278108355;6;r
